iter	Passed	Remaining
592	13336	9153
593	13361	9132
594	13385	9111
595	13409	9089
596	13433	9068
597	13455	9045
598	13478	9023
599	13500	9000
600	13523	8978
601	13547	8956
602	13570	8934
603	13591	8911
604	13614	8888
605	13636	8866
606	13658	8843
607	13680	8820
608	13701	8797
609	13723	8774
610	13745	8751
611	13768	8728
612	13788	8705
613	13808	8681
614	13829	8657
615	13849	8633
616	13870	8610
617	13891	8586
618	13910	8561
619	13930	8538
620	13950	8514
621	13972	8491
622	13994	8468
623	14014	8444
624	14034	8420
625	14056	8398
626	14076	8374
627	14096	8349
628	14116	8326
629	14137	8302
630	14157	8278
631	14177	8255
632	14198	8231
633	14217	8207
634	14239	8184
635	14260	8161
636	14281	8138
637	14301	8114
638	14321	8090
639	14341	8067
640	14361	8043
641	14383	8020
642	14405	7998
643	14425	7974
644	14446	7951
645	14467	7927
646	14487	7904
647	14506	7880
648	14528	7857
649	14548	7833
650	14569	7810
651	14592	7788
652	14612	7765
653	14632	7741
654	14652	7717
655	14673	7694
656	14694	7671
657	14714	7648
658	14734	7624
659	14753	7600
660	14772	7576
661	14794	7553
662	14814	7530
663	14835	7506
664	14855	7483
665	14876	7460
666	14896	7437
667	14916	7413
668	14937	7390
669	14959	7368
670	14981	7345
671	15003	7323
672	15025	7300
673	15044	7276
674	15064	7253
675	15084	7229
676	15104	7206
677	15125	7183
678	15146	7160
679	15167	7137
680	15188	7114
681	15210	7092
682	15231	7069
683	15251	7046
684	15271	7022
685	15292	6999
686	15312	6976
687	15333	6953
688	15353	6930
689	15373	6906
690	15393	6883
691	15415	6861
692	15436	6838
693	15457	6815
694	15477	6792
695	15497	6768
696	15516	6745
697	15535	6721
698	15555	6698
699	15575	6675
700	15595	6651
701	15616	6629
702	15636	6606
703	15656	6582
704	15676	6559
705	15695	6536
706	15715	6512
707	15734	6489
708	15760	6468
709	15780	6445
710	15800	6422
711	15821	6399
712	15849	6379
713	15879	6360
714	15914	6343
715	15935	6320
716	15954	6297
717	15980	6276
718	16001	6253
719	16022	6230
720	16042	6208
721	16062	6184
722	16083	6161
723	16105	6139
724	16125	6116
725	16146	6093
726	16167	6071
727	16188	6048
728	16208	6025
729	16229	6002
730	16249	5979
731	16270	5956
732	16289	5933
733	16310	5910
734	16330	5888
735	16351	5865
736	16371	5842
737	16391	5819
738	16412	5796
739	16434	5774
740	16455	5751
